SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
Physical Blocks:	8K (8192)
User Blocks:		8188
LOG Blocks:		3
PPNs:			1M (1048576)
LPNs:			1048064
Total runs:		x10
Actual capacity:	4292870144 Bytes

Workload : 		Multi Hot/Cold
FTL : 			Log block FTL
partial!! 4885 2596 1 43 1
partial!! 4641 4824 1 123 1
partial!! 4029 4166 1 128 1
partial!! 5065 481 1 128 1
partial!! 4671 1130 1 127 1
partial!! 2332 1648 1 128 1
partial!! 4050 2801 1 113 1
partial!! 145 2602 1 125 1
partial!! 2984 1124 1 122 1
partial!! 814 2984 1 115 1
partial!! 1885 406 1 115 1
partial!! 357 1677 1 126 1
partial!! 4370 5232 1 97 1
partial!! 4515 4074 1 127 1
partial!! 2904 3699 1 122 1
partial!! 163 6032 1 124 1
partial!! 1798 2176 1 67 1
partial!! 3155 379 1 116 1
partial!! 6767 2648 1 55 1
partial!! 4238 1002 1 128 1
partial!! 1594 4238 1 128 1
partial!! 3525 4130 1 120 1
partial!! 1553 1733 1 128 1
partial!! 6169 2825 1 121 1
partial!! 3906 2103 1 126 1
partial!! 2100 3331 1 103 1
partial!! 5994 2038 1 128 1
partial!! 3353 4534 1 128 1
partial!! 3554 4346 1 113 1
partial!! 4906 1853 1 116 1
partial!! 24 2599 1 128 1
partial!! 4857 2372 1 121 1
partial!! 4569 4267 1 102 1
partial!! 742 2187 1 110 1
partial!! 199 2232 1 126 1
partial!! 1402 3037 1 127 1
partial!! 1751 153 1 109 1
partial!! 2943 2041 1 125 1
partial!! 333 2190 1 125 1
partial!! 5220 505 1 121 1
partial!! 5668 2162 1 116 1
partial!! 1355 3503 1 99 1
partial!! 2060 4422 1 112 1
partial!! 4097 1670 1 128 1
partial!! 4074 4737 1 128 1
partial!! 122 4938 1 128 1
partial!! 3603 4768 1 127 1
partial!! 2202 2422 1 124 1
partial!! 5286 2283 1 124 1
partial!! 527 4270 1 124 1
partial!! 3453 4605 1 128 1
partial!! 3446 2950 1 127 1
partial!! 705 6502 1 123 1
partial!! 1348 580 1 127 1
partial!! 3598 2959 1 127 1
partial!! 1522 5531 1 124 1
partial!! 3399 5855 1 128 1
partial!! 396 6012 1 127 1
partial!! 343 725 1 120 1
partial!! 4513 343 1 115 1
partial!! 2953 4768 1 106 1
partial!! 4569 2516 1 86 1
partial!! 4925 6546 1 128 1
partial!! 4762 2196 1 126 1
partial!! 3432 4674 1 128 1
partial!! 3142 5878 1 127 1
partial!! 638 1853 1 73 1
partial!! 6264 5643 1 124 1
partial!! 3946 5151 1 125 1
partial!! 3307 6488 1 128 1
partial!! 3984 3398 1 127 1
partial!! 3599 1003 1 127 1
partial!! 833 6002 1 88 1
partial!! 6006 596 1 127 1
partial!! 403 2155 1 126 1
partial!! 319 932 1 93 1
partial!! 202 203 1 113 1
partial!! 6115 5075 1 64 1
partial!! 4272 680 1 126 1
partial!! 1604 1419 1 127 1
partial!! 1433 5342 1 124 1
partial!! 6976 3533 1 112 1
partial!! 3501 2417 1 128 1
partial!! 2196 2995 1 126 1
partial!! 3018 4556 1 122 1
partial!! 611 2914 1 127 1
partial!! 3117 6597 1 125 1
partial!! 3167 10 1 73 1
partial!! 4828 4845 1 126 1
partial!! 5342 2114 1 124 1
partial!! 4034 5342 1 128 1
partial!! 6340 3456 1 71 1
partial!! 4315 79 1 125 1
partial!! 416 3144 1 126 1
partial!! 4406 1443 1 126 1
partial!! 5842 1229 1 127 1
partial!! 6704 5006 1 114 1
partial!! 3727 1419 1 128 1
partial!! 2088 3361 1 127 1
partial!! 91 3132 1 125 1
partial!! 3974 2542 1 111 1
partial!! 810 3677 1 108 1
partial!! 5406 2838 1 128 1
partial!! 1522 4023 1 126 1
partial!! 3376 1398 1 109 1
partial!! 6336 5186 1 128 1
partial!! 5531 1016 1 91 1
partial!! 1492 2207 1 128 1
partial!! 78 6223 1 127 1
partial!! 2958 6296 1 120 1
partial!! 3557 2008 1 127 1
partial!! 983 7122 1 127 1
partial!! 3823 3640 1 128 1
partial!! 2573 5044 1 125 1
partial!! 2389 4200 1 126 1
partial!! 5850 2701 1 127 1
partial!! 6252 1802 1 78 1
partial!! 43 1003 1 124 1
partial!! 4965 2114 1 126 1
partial!! 680 2295 1 123 1
partial!! 2416 2943 1 127 1
partial!! 626 2427 1 122 1
partial!! 2013 4792 1 127 1
partial!! 732 1502 1 125 1
partial!! 3927 2770 1 126 1
partial!! 1693 5360 1 126 1
partial!! 2992 524 1 99 1
partial!! 692 3597 1 126 1
partial!! 3513 6699 1 128 1
partial!! 192 700 1 128 1
partial!! 4074 3218 1 117 1
partial!! 2175 2774 1 125 1
partial!! 5257 58 1 80 1
partial!! 161 5955 1 125 1
partial!! 6242 3925 1 119 1
partial!! 2791 3327 1 122 1
partial!! 4228 2739 1 126 1
partial!! 2109 1671 1 107 1
partial!! 664 4835 1 125 1
partial!! 2101 5258 1 127 1
partial!! 14 4422 1 126 1
partial!! 1764 1524 1 126 1
partial!! 877 4510 1 102 1
partial!! 171 2310 1 112 1
partial!! 1109 1582 1 128 1
partial!! 1843 2429 1 125 1
partial!! 5322 3023 1 126 1
partial!! 4904 3007 1 126 1
partial!! 287 4001 1 127 1
partial!! 3077 332 1 123 1
partial!! 3855 2845 1 128 1
partial!! 198 4684 1 115 1
partial!! 1287 3534 1 122 1
partial!! 6969 6246 1 64 1
partial!! 1893 6152 1 116 1
partial!! 3432 5514 1 123 1
partial!! 4844 2672 1 25 1
partial!! 5259 1965 1 115 1
partial!! 3868 7104 1 98 1
partial!! 3213 2259 1 104 1
partial!! 3391 1210 1 127 1
partial!! 3111 2064 1 127 1
partial!! 800 4489 1 128 1
partial!! 513 2542 1 126 1
partial!! 3297 4651 1 127 1
partial!! 2936 1294 1 125 1
partial!! 4615 6020 1 119 1
partial!! 3389 3373 1 128 1
partial!! 6152 1187 1 125 1
partial!! 2882 171 1 127 1
partial!! 535 3106 1 128 1
partial!! 3424 3454 1 128 1
partial!! 6269 3682 1 128 1
partial!! 2821 915 1 125 1
partial!! 3682 3208 1 128 1
partial!! 372 3426 1 127 1
partial!! 4971 6927 1 128 1
partial!! 634 2980 1 126 1
partial!! 5581 5627 1 128 1
partial!! 2739 1360 1 125 1
partial!! 171 1851 1 122 1
partial!! 4971 4311 1 124 1
partial!! 4939 1433 1 121 1
partial!! 4460 3079 1 125 1
partial!! 3627 6659 1 128 1
partial!! 5125 527 1 126 1
partial!! 2273 4744 1 128 1
partial!! 3229 5556 1 128 1
partial!! 2761 3179 1 127 1
partial!! 650 2496 1 121 1
partial!! 1379 5223 1 128 1
partial!! 778 1773 1 128 1
partial!! 5544 3526 1 126 1
partial!! 4980 5544 1 127 1
partial!! 2727 4402 1 128 1
partial!! 4470 7373 1 127 1
partial!! 2483 103 1 125 1
partial!! 1251 2963 1 127 1
partial!! 1314 3400 1 127 1
partial!! 3343 1314 1 83 1
partial!! 6450 2778 1 127 1
partial!! 205 6323 1 128 1
partial!! 3802 6147 1 116 1
partial!! 1519 7070 1 102 1
partial!! 4463 1042 1 124 1
partial!! 1187 4870 1 125 1
partial!! 6482 6492 1 123 1
partial!! 5410 3453 1 123 1
partial!! 4874 3605 1 127 1
partial!! 781 6646 1 114 1
partial!! 271 5105 1 104 1
partial!! 1069 2064 1 126 1
partial!! 5847 4311 1 125 1
partial!! 3783 3341 1 128 1
partial!! 7146 3783 1 114 1
partial!! 5168 5581 1 83 1
partial!! 1437 3825 1 128 1
partial!! 2522 3553 1 120 1
partial!! 1078 1858 1 122 1
partial!! 2732 4908 1 124 1
partial!! 1296 6543 1 126 1
partial!! 1265 4 1 80 1
partial!! 2491 4887 1 128 1
partial!! 1249 610 1 125 1
partial!! 5643 4800 1 122 1
partial!! 4264 40 1 128 1
partial!! 4969 3643 1 126 1
partial!! 4597 4606 1 115 1
partial!! 5801 2136 1 110 1
partial!! 17 5345 1 126 1
partial!! 2292 1103 1 110 1
partial!! 1437 4757 1 127 1
partial!! 4694 25 1 128 1
partial!! 1125 4016 1 116 1
partial!! 4640 1995 1 128 1
partial!! 462 1281 1 125 1
partial!! 1274 5149 1 120 1
partial!! 343 2250 1 128 1
partial!! 3620 6155 1 127 1
partial!! 7456 3857 1 121 1
partial!! 4992 2945 1 126 1
partial!! 465 3398 1 113 1
partial!! 1424 4329 1 124 1
partial!! 5955 1269 1 116 1
partial!! 1991 4664 1 46 1
partial!! 868 1382 1 128 1
partial!! 3825 5158 1 128 1
partial!! 5073 6728 1 123 1
partial!! 1509 5906 1 106 1
partial!! 1215 154 1 126 1
partial!! 7171 3009 1 126 1
partial!! 2255 5125 1 127 1
partial!! 4886 2911 1 125 1
partial!! 1047 4262 1 126 1
partial!! 1055 1977 1 128 1
partial!! 4997 2093 1 106 1
partial!! 1860 4455 1 123 1
partial!! 1761 5466 1 125 1
partial!! 1757 6913 1 128 1
partial!! 164 1325 1 107 1
partial!! 3738 1704 1 126 1
partial!! 5945 95 1 128 1
partial!! 523 3495 1 128 1
partial!! 4877 6845 1 126 1
partial!! 3231 6219 1 124 1
partial!! 1472 4663 1 128 1
partial!! 6382 2311 1 128 1
partial!! 836 69 1 128 1
partial!! 2528 609 1 128 1
partial!! 3249 14 1 123 1
partial!! 6684 2237 1 115 1
partial!! 4537 365 1 124 1
partial!! 4875 6535 1 123 1
partial!! 2576 3280 1 121 1
partial!! 4984 6804 1 128 1
partial!! 5243 1274 1 127 1
partial!! 3110 2576 1 124 1
partial!! 2279 827 1 118 1
partial!! 5687 203 1 92 1
partial!! 6699 525 1 106 1
partial!! 6099 7071 1 126 1
partial!! 3553 3825 1 126 1
partial!! 2378 142 1 124 1
partial!! 2176 1058 1 127 1
partial!! 5768 3424 1 128 1
partial!! 3007 5466 1 117 1
partial!! 412 4413 1 125 1
partial!! 7271 3273 1 112 1
partial!! 1813 2311 1 126 1
partial!! 241 25 1 127 1
partial!! 44 6047 1 128 1
partial!! 4611 4434 1 125 1
partial!! 682 4605 1 125 1
partial!! 825 1175 1 123 1
partial!! 6132 1748 1 126 1
partial!! 5135 3477 1 110 1
partial!! 300 1435 1 119 1
partial!! 6326 3743 1 126 1
partial!! 3902 441 1 128 1
partial!! 4088 1907 1 127 1
partial!! 4135 3815 1 117 1
partial!! 2057 914 1 128 1
partial!! 2637 6162 1 121 1
partial!! 1775 5341 1 124 1
partial!! 1741 6039 1 125 1
partial!! 3235 856 1 128 1
partial!! 1790 1895 1 128 1
partial!! 2020 7351 1 111 1
partial!! 4947 1546 1 128 1
partial!! 5164 2147 1 127 1
partial!! 311 1224 1 65 1
partial!! 7294 2273 1 119 1
partial!! 188 2516 1 119 1
partial!! 3275 2715 1 112 1
partial!! 3391 5485 1 125 1
partial!! 4903 4430 1 111 1
partial!! 7138 504 1 128 1
partial!! 2673 4875 1 128 1
partial!! 1209 3727 1 126 1
partial!! 1764 4799 1 124 1
partial!! 2862 4644 1 125 1
partial!! 780 1084 1 127 1
partial!! 4540 2646 1 121 1
partial!! 425 6656 1 128 1
partial!! 2112 6895 1 114 1
partial!! 2001 3949 1 128 1
partial!! 1115 679 1 126 1
partial!! 2692 666 1 127 1
partial!! 5222 424 1 122 1
partial!! 5310 2616 1 126 1
partial!! 6114 3077 1 127 1
partial!! 5660 3113 1 114 1
partial!! 3822 3494 1 125 1
partial!! 6490 5767 1 123 1
partial!! 4307 1408 1 127 1
partial!! 3213 1333 1 124 1
partial!! 3103 5065 1 127 1
partial!! 6798 7372 1 42 1
partial!! 5708 6038 1 128 1
partial!! 679 4886 1 126 1
partial!! 3228 4156 1 128 1
partial!! 1790 3228 1 125 1
partial!! 935 2819 1 99 1
partial!! 636 4858 1 128 1
partial!! 1355 2477 1 117 1
partial!! 4800 6013 1 122 1
partial!! 4005 2233 1 93 1
partial!! 4952 5572 1 127 1
partial!! 1059 2952 1 126 1
partial!! 501 1324 1 128 1
partial!! 3659 2562 1 125 1
partial!! 7599 737 1 128 1
partial!! 1900 1759 1 99 1
partial!! 41 5862 1 124 1
partial!! 1567 5371 1 128 1
partial!! 6896 3373 1 124 1
partial!! 4797 5722 1 125 1
partial!! 5494 3127 1 122 1
partial!! 2120 4832 1 85 1
partial!! 6070 1389 1 127 1
partial!! 6266 4739 1 111 1
partial!! 2290 3128 1 123 1
partial!! 4812 630 1 121 1
partial!! 1148 4570 1 125 1
partial!! 4503 1669 1 122 1
partial!! 2881 5529 1 121 1
partial!! 4322 3039 1 128 1
partial!! 3884 2667 1 128 1
partial!! 2491 4280 1 128 1
partial!! 846 3609 1 91 1
partial!! 7173 2811 1 126 1
partial!! 6174 1505 1 118 1
partial!! 2676 167 1 128 1
partial!! 2279 3712 1 128 1
partial!! 3964 1113 1 127 1
partial!! 1312 167 1 107 1
partial!! 1087 903 1 128 1
partial!! 1503 1444 1 128 1
partial!! 656 16 1 127 1
partial!! 3467 4406 1 125 1
partial!! 4163 4007 1 128 1
partial!! 964 45 1 112 1
partial!! 3037 1470 1 128 1
partial!! 5186 7585 1 128 1
partial!! 6444 1218 1 128 1
partial!! 7223 6964 1 112 1
partial!! 4155 1281 1 128 1
partial!! 4688 1669 1 128 1
partial!! 1862 4522 1 122 1
partial!! 3205 2858 1 124 1
partial!! 3604 3025 1 126 1
partial!! 7171 1242 1 125 1
partial!! 2554 2010 1 105 1
partial!! 4682 2587 1 128 1
partial!! 3302 5879 1 127 1
partial!! 1934 6316 1 124 1
partial!! 3260 3152 1 120 1
partial!! 1210 6326 1 125 1
partial!! 7171 2418 1 128 1
partial!! 3324 1427 1 127 1
